source_id,material_label,notes,SiO2_mol_frac,Na2O_mol_frac,GeO2_mol_frac,E_GPa,rho_kg_m3,family,TiO2_mol_frac,PbO_mol_frac,RO_mol_frac,WO3_mol_frac,Bi2O3_mol_frac,ZrO2_mol_frac,K2O_mol_frac,Li2O_mol_frac,MgO_mol_frac,CaO_mol_frac,ZnO_mol_frac,SrO_mol_frac,B2O3_mol_frac,Al2O3_mol_frac,BaO_mol_frac,alpha_1e6_K,P2O5_mol_frac,FemOn_mol_frac
SG-217-20123,SG-217-20123,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.0734375,0.0734375,0.853125,60.0,3789.0000343322754,germanate,,,,,,,,,,,,,,,,,,
SG-217-20124,SG-217-20124,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.07150101661682129,0.07150101661682129,0.8569979858398438,59.900001525878906,3786.999940872192,germanate,,,,,,,,,,,,,,,,,,
SG-217-20125,SG-217-20125,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.0689149570465088,0.0689149570465088,0.8621701049804688,58.20000076293945,3775.000095367432,germanate,,,,,,,,,,,,,,,,,,
SG-217-20126,SG-217-20126,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.06679298877716064,0.06679298877716064,0.8664140319824218,57.400001525878906,3767.999887466431,germanate,,,,,,,,,,,,,,,,,,
SG-217-20163,SG-217-20163,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09356337547302246,0.09356337547302246,0.6635700225830078,53.59999847412109,4098.999977111816,germanate,,,,,,,,,,,,,,,,,,
SG-217-20164,SG-217-20164,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.09038461685180664,0.09038461685180664,0.6410256195068359,51.0,4151.9999504089365,germanate,,,,,,,,,,,,,,,,,,
SG-217-20165,SG-217-20165,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.08682266235351563,0.08682266235351563,0.6157635116577149,49.70000076293945,4179.999828338623,germanate,,,,,,,,,,,,,,,,,,
SG-217-20166,SG-217-20166,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.07868303298950195,0.07868303298950195,0.5580356979370117,45.29999923706055,4340.000152587891,germanate,,,,,,,,,,,,,,,,,,
SG-217-20167,SG-217-20167,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.07389937400817871,0.07389937400817871,0.524109001159668,42.900001525878906,4418.000221252441,germanate,,,,,,,,,,,,,,,,,,
SG-217-20168,SG-217-20168,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.06854642868041992,0.06854642868041992,0.48614490509033204,41.09999847412109,4500.0,germanate,,,,,,,,,,,,,,,,,,
SG-217-20169,SG-217-20169,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.0625,0.0625,0.4432624053955078,39.0,4583.000183105469,germanate,,,,,,,,,,,,,,,,,,
SG-217-20170,SG-217-20170,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.055643253326416016,0.055643253326416016,0.3946329879760742,36.5,4668.000221252441,germanate,,,,,,,,,,,,,,,,,,
SG-217-20171,SG-217-20171,SciGlass SciGK.csv; cite EPAM/drcassar + license,0.047667341232299806,0.047667341232299806,0.33806625366210935,35.0,4750.0,germanate,,,,,,,,,,,,,,,,,,
